Category,Subcategory,Description
college,College Name,"Prof.V.B.Shah Institute of Management, 
 R.V.Patel College of Commerce,
 V.L.Shah College of Commerce,
 Sutex Bank College of Computer Applications & Science"
college,Affiliated University,Veer Narmad South Gujarat University
college,Trust,"Jivan Jyot Trust
 Jivan Jyot Trust, Amroli is a registered, non- governmental, non- profitable, social service organization established in 1974 with the aim of providing the good education and health to the people of Amroli village. It started to work for the people who are really under the clutches of poverty and social & educational backwardness. It provides help to the needy, education for poor children, funds for good causes, and all kind of social services like health camps, public awareness programmes in the village Amroli as well as nearby villages in the Surat city. The untiring efforts and strong determination of shri Kantilal J.Shah & the trustees resulted in incredible development in the past few years. Today the Trust proudly manages self financed institutions including a BBA college, a BCA college, a Commerce college, an arts college, English and Gujarati medium primary, secondary and Higher Secondary school along with this college. More than 6000 students in and around Amroli get the advantage of learning from these institutions. It has started a hospital for the poor people with lower cost of medical treatment in the year 2012. The hospital is having surgical and maternity ward facilities currently. The mission of the Trust bore fruit and dream came true as Amroli is today but a well developed part of Surat city.
 
 Founder of JJT: Late Shri Kantilal J. Shah
 Trustee-President: Shri Bharatbhai Shah
 Vice-President: Shri Giridhargopalji Mundra
 Trustee-Vice-President: Shri Bhanubhai Shah
 Trustee-Hon. Secretary: Shri Ashvinbhai Patel
 Secretary: Shri Anujbhai Shah
 Trustee: Pankajkumar Kapadiya
 Trustee: Shri Nayanbhai Bhariya
 Trustee: Shri Gaurangbhai Desai
 Trustee: Shri Kantibhai Shah"
college,About College,"College is affiliated under Veer Narmad South Gujarat University. It is self finance College which is situated at Amroli Village which is now a part of Surat Municipal Corporation.
 
 The college was established in 1998. Different programs are offered by college whose establishment year are listed below:
 B.B.A. Program-----1998
 B.C.A. Program-----2000
 B.Com.(EM) Prog---2001
 B.Com.(GM) Prog---2006
 B.C.A. (Winter)------2021
 B.Sc. (DS)-------------2024
 B.C.A. (AI)------------2025 (will start in 2025-26)
 M.Com. (EM/GM)---2025 (will start in 2025-26)
 B.Sc. (IT)--------------2025 (will start in 2025-26) 
 
 The main focus of the college is on Education of student.The entire academic year is replete with academic, extra and co-curicular activities, sport events, guest lectures, industrial visits, educational tour, seminars and workshops. 
 
 Teaching learning process is totally student centered.
 
 Well qualified as well as experienced faculties are there to teach students."
college,Contact us,"Address1:
 ""Saraswati Shaikshanik Sankul"", Chhapra Bhatha Road,
 Amroli-Surat-394107
 Ph no: (0261)2494073, 9427113947
 
 Address2:
 Amroli College Campus,
 Amroli-Surat-394107
 Ph no: 6354626492
 
 Website:
 www.amrolicollege.ac.in
 
 Social Media:
 Instagram: AMROLICOLLEGE.OFFICIAL
 Facebook: AMROLICOLLEGE.OFFICIAL
 Youtube: AMROLICOLLEGE.OFFICIAL
 Linkdin: AMROLICOLLEGE.OFFICIAL"
college,Courses Offered,"B.B.A. (Morning & Afternoon)
 B.C.A. (Morning & Afternoon)
 B.Com. (Gujarati & English Medium) (Morning)
 B.Sc. (Data Science & Analysis) (Afternoon)
 B.C.A. (Artificial Intelligence) (Afternoon)
 M.Com. (Gujarati & English Medium)
 B.Sc. (Information Technology)"
college,College has Certificates,"AICTE Approved
 GSIRF (***)
 UGC 2F Certified
 ISO-9001-2015 Certified
 NAAC accrediated
 NCC (Girls) approved by VNSGU
 NSS approved by VNSGU"
college,Principal,"Dr.Mukesh Goyani,GSLET, Ph.D., M.Phil., M.Com., M.Ed., CCC"
college,Trustee Members,"Jivan Jyot Trust
 Founder of JJT: Late Shri Kantilal J. Shah
 Trustee-President: Shri Bharatbhai Shah
 Vice-President: Shri Giridhargopalji Mundra
 Trustee-Vice-President: Shri Bhanubhai Shah
 Trustee-Hon. Secretary: Shri Ashvinbhai Patel
 Secretary: Shri Anujbhai Shah
 Trustee: Pankajkumar Kapadiya
 Trustee: Shri Nayanbhai Bhariya
 Trustee: Shri Gaurangbhai Desai
 Trustee: Shri Kantibhai Shah"
college,Infrastructural Facilities,"Audio Visual Smart Class rooms
 5 Computer Labs
 2 Libraries
 Sadhyaro Hall for Seminar, workshop etc.
 Wide Space for Parking
 NCC (Girls) room
 Sport room
 Common Girls room
 etc."
